ESSID,riziq,
Mac Address,4C:09:B4:07:CF:F0,
Channel,6,
AP position,,
Authorization,no,
signal level,X-coordinate,Y-coordinate
-54,337,6
-54.2,80,47
-54.5,116,94
-54.6,331,319
-54.9,536,116
-54.9,496,157
-55.3,81,275
-55.7,285,348
-55.7,365,315
-56.2,537,244
-56.5,328,345
-56.9,584,245
-57.8,538,36
-58.4,272,317
-58.4,179,312
-58.5,412,116
-58.7,112,314
-58.9,116,279
-59.3,72,315
-59.6,497,70
-59.8,457,240
-60.2,541,198
-61.6,589,116
-61.8,536,75
-62.1,494,36
-63,590,203
-63.3,366,348
-65.1,589,158
-65.6,496,402
-65.9,284,387
-65.9,63,432
-66.4,107,438
-66.6,492,6
-66.7,446,442
-67.2,231,385
-67.8,538,10
-68.4,536,325
-68.5,495,246
-68.6,538,398
-69.6,496,284
-70,587,75
-70,587,330
-70.3,147,434
-70.5,589,369
-70.5,328,392
-70.9,184,384
-70.9,537,440
-71.1,534,368
-71.2,412,402
-71.3,328,437
-71.4,368,401
-71.5,535,282
-71.7,237,434
-71.9,407,440
-72.2,113,376
-72.6,495,367
-73.3,368,440
-73.3,492,442
-73.6,588,283
-74,496,326
-74.7,442,365
-74.9,370,370
-75.2,591,398
-76,409,366
-76.3,275,433
-78.4,65,380
-78.6,593,435
-78.8,442,407
-79.3,186,434
-75.3,119,417
-75.3,155,417
-75.6,235,342
-75.7,197,416
-75.8,524,229
-75.9,68,414
-76,591,230
-76.7,592,266
-77.5,562,269
-78.4,599,269
